blur_sigma_output_px,visibility_m,peak_electrons,jpeg_quality,calibration_score,luminance_mean_score,contrast_score,saturation_score,gradient_ratio_score,blockiness_score
0.7,,8000.0,85.0,20.564711524993992,0.04680787890759938,5.898678107431561,0.7026024110976954,10.115195323745652,3.801427803811486
0.35,15000.0,,75.0,20.589438336245937,0.07080606204471085,5.416830545289603,0.7250518465409115,7.412087704939664,6.964662177431048
0.35,8000.0,,75.0,20.8431365943519,0.09152577013202298,5.46669767359152,0.8274037911365102,7.42660184151406,7.030907517977789
0.7,15000.0,8000.0,85.0,20.945056217205003,0.07084599257024424,6.014500493511422,0.7467601250055467,10.08846735404753,4.024482252070261
0.7,,,85.0,20.99706276789422,0.046959791963769454,5.908870295067154,0.6927496165724766,10.219982807072574,4.128500257218247
0.7,8000.0,8000.0,85.0,21.214696190393624,0.09118126468152282,6.069905329771932,0.8264944581919703,10.093516031628502,4.133599106119698
0.7,15000.0,,85.0,21.42746820019547,0.07060912801263919,6.048518729212032,0.721851690534203,10.18277255049668,4.403716101939918
0.7,8000.0,,85.0,21.615546252163952,0.09099788305137353,6.091187359442303,0.8232105770279788,10.199489049955487,4.410661382686812
0.7,,8000.0,75.0,23.991266581913013,0.046213745886252135,5.8849382439871,0.7046761726443104,10.177194953560234,7.178243465835117
0.7,,,75.0,24.43130777005593,0.0465112753328107,5.894574690743807,0.7027738983694363,10.249445316223465,7.538002589386413
0.7,15000.0,8000.0,75.0,24.55591222057984,0.07001612743206226,6.000566723204918,0.7816952934751095,10.143911194366073,7.559722882101683
0.7,8000.0,8000.0,75.0,24.68760738683487,0.0904760049153979,6.048643776676193,0.8420266175603633,10.13754159924792,7.5689193884349955
0.7,15000.0,,75.0,24.95955686984515,0.0697300072340464,6.031849207470096,0.7298333053637815,10.21020277550842,7.91794157426881
0.7,8000.0,,75.0,25.196930794868095,0.09038265417085534,6.070334620569038,0.8300035248307898,10.221721203144376,7.984488792153038
